Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""2p6.8g""","=""2G""","=""9/2""","=""""","=""0.5212807""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.8h""","=""2H*""","=""9/2""","=""""","=""0.5212846""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.8h""","=""2H*""","=""11/2""","=""""","=""0.5212846""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.8i""","=""2I""","=""9/2 or 11/2 or 13/2""","=""""","=""0.5212859""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9p""","=""2P*""","=""1/2""","=""""","=""0.5235083""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9p""","=""2P*""","=""3/2""","=""""","=""0.5235171""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10s""","=""2S""","=""1/2""","=""""","=""0.5274641""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9d""","=""2D""","=""5/2""","=""""","=""0.5275981""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9d""","=""2D""","=""3/2""","=""""","=""0.5275983""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9f""","=""2F*""","=""5/2""","=""""","=""0.5278268""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9f""","=""2F*""","=""7/2""","=""""","=""0.5278268""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9g""","=""2G""","=""7/2""","=""""","=""0.5278408""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9g""","=""2G""","=""9/2""","=""""","=""0.5278408""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9h""","=""2H*""","=""9/2""","=""""","=""0.5278436""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9h""","=""2H*""","=""11/2""","=""""","=""0.5278436""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.9i""","=""2I""","=""9/2 or 11/2 or 13/2""","=""""","=""0.5278447""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10p""","=""2P*""","=""1/2""","=""[""","=""0.529417""","=""]""","=""""","=""                                                    ""","="""""
"=""2p6.10p""","=""2P*""","=""3/2""","=""[""","=""0.529424""","=""]""","=""""","=""                                                    ""","="""""
"=""2p6.10d""","=""2D""","=""5/2""","=""""","=""0.5323551""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10d""","=""2D""","=""3/2""","=""""","=""0.5323553""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10f""","=""2F*""","=""5/2""","=""""","=""0.5325228""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10f""","=""2F*""","=""7/2""","=""""","=""0.5325228""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10g""","=""2G""","=""7/2""","=""""","=""0.5325333""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10g""","=""2G""","=""9/2""","=""""","=""0.5325333""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10h""","=""2H*""","=""9/2""","=""""","=""0.5325355""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10h""","=""2H*""","=""11/2""","=""""","=""0.5325355""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.10i""","=""2I""","=""9/2 or 11/2 or 13/2""","=""""","=""0.5325359""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.11g""","=""2G""","=""7/2""","=""""","=""0.5360050""","=""""","=""""","=""                                                    ""","="""""
"=""2p6.11g""","=""2G""","=""9/2""","=""""","=""0.5360050""","=""""","=""""","=""                                                    ""","="""""
"=""Mg III (2p6 1S<0>)""","=""Limit""","=""---""","=""""","=""0.55253602""","=""""","=""0.00000023""","=""                                                    ""","=""L10635"""
"=""2p5.3s2""","=""2P*""","=""3/2""","=""""","=""1.8343""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s2""","=""2P*""","=""1/2""","=""""","=""1.8431""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""""","=""1.95447""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""""","=""1.9779""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""""","=""1.98033""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""""","=""1.98287""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""""","=""1.98492""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","=""""","=""1.983""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""""","=""1.9937""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""""","=""1.99644""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","=""""","=""2.002""","=""""","=""""","=""                                                    ""","="""""
