Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""1s2.9p""","=""2P*""","=""1/2""","=""[""","=""0.6442806""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.9p""","=""2P*""","=""3/2""","=""[""","=""0.6442809""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.9d""","=""2D""","=""5/2""","=""[""","=""0.6445444""","=""]""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.9d""","=""2D""","=""3/2""","=""[""","=""0.6445444""","=""]""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.9f""","=""2F*""","=""7/2""","=""[""","=""0.6445558""","=""]""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.9f""","=""2F*""","=""5/2""","=""[""","=""0.6445558""","=""]""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.9g""","=""2G""","=""9/2""","=""[""","=""0.6445572""","=""]""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.9g""","=""2G""","=""7/2""","=""[""","=""0.6445572""","=""]""","=""0.0000004""","="" 100                                           ""","=""L12158"""
"=""1s2.9h""","=""2H*""","=""11/2""","=""[""","=""0.6445575""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.9h""","=""2H*""","=""9/2""","=""[""","=""0.6445575""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.10s""","=""2S""","=""1/2""","=""[""","=""0.6481653""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.10p""","=""2P*""","=""1/2""","=""[""","=""0.6490468""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.10p""","=""2P*""","=""3/2""","=""[""","=""0.6490470""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.10f""","=""2F*""","=""7/2""","=""[""","=""0.6492474""","=""]""","=""0.0000003""","="" 100                                           ""","=""L12158"""
"=""1s2.10f""","=""2F*""","=""5/2""","=""[""","=""0.6492474""","=""]""","=""0.0000003""","="" 100                                           ""","=""L12158"""
"=""1s2.10g""","=""2G""","=""9/2""","=""[""","=""0.6492484""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.10g""","=""2G""","=""7/2""","=""[""","=""0.6492484""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.10h""","=""2H*""","=""11/2""","=""[""","=""0.6492486""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""1s2.10h""","=""2H*""","=""9/2""","=""[""","=""0.6492486""","=""]""","=""0.0000005""","="" 100                                           ""","=""L12158"""
"=""Be III (1s2 1S<0>)""","=""Limit""","=""---""","=""""","=""0.6692476""","=""""","=""0.0000016""","=""                                               ""","=""L12158"""
"=""1s.2s2""","=""2S""","=""1/2""","=""""","=""4.201""","=""a""","=""0.004""","=""  88         :    12  1s.2p2              2S   ""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""5/2""","=""""","=""4.258319""","=""+x""","=""0.00014""","="" 100                                           ""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""3/2""","=""""","=""4.258319""","=""+x""","=""0.00014""","="" 100                                           ""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""1/2""","=""""","=""4.258319""","=""+x""","=""0.00014""","="" 100                                           ""","=""L12158"""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""","=""""","=""4.3639""","=""a""","=""0.0005""","=""  95         :     5  1s.(2S).2s.2p.(1P*) 2P*  ""","=""L12158"""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""","=""""","=""4.3639""","=""a""","=""0.0005""","=""  95         :     5  1s.(2S).2s.2p.(1P*) 2P*  ""","=""L12158"""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""","=""""","=""4.4461""","=""a""","=""0.0014""","=""  94         :     5  1s.(2S).2s.2p.(3P*) 2P*  ""","=""L12158"""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""","=""""","=""4.4461""","=""a""","=""0.0014""","=""  94         :     5  1s.(2S).2s.2p.(3P*) 2P*  ""","=""L12158"""
"=""1s.2p2""","=""4P""","=""5/2""","=""""","=""4.454264""","=""+x""","=""0.00014""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""4P""","=""3/2""","=""""","=""4.454264""","=""+x""","=""0.00014""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""4P""","=""1/2""","=""""","=""4.454264""","=""+x""","=""0.00014""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""2D""","=""5/2""","=""""","=""4.4988""","=""a""","=""0.0005""","=""  96         :     2  1s.2s.(3S).3d       2D   ""","=""L12158"""
