Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Reference
"=""4d10.10d""","=""2D""","=""5/2""","=""""","=""0.27060343""","=""""","=""0.00000008""","=""L11755"""
"=""4d10.12s""","=""2S""","=""1/2""","=""""","=""0.2714417""","=""""","=""0.0000003""","=""L3466"""
"=""4d10.11d""","=""2D""","=""3/2""","=""""","=""0.2722463""","=""""","=""0.0000003""","=""L3466"""
"=""4d10.11d""","=""2D""","=""5/2""","=""""","=""0.2722479""","=""""","=""0.0000003""","=""L3466"""
"=""4d10.12d""","=""2D""","=""3/2,5/2""","=""""","=""0.2734147""","=""""","=""0.0000009""","=""L3466"""
"=""Ag II (4d10 1S<0>)""","=""Limit""","=""---""","=""""","=""0.2784215""","=""""","=""0.0000009""","=""L11835"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""","=""""","=""0.28145904""","=""""","=""0.00000023""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""5/2""","=""""","=""0.2833214""","=""""","=""0.0000007""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""1/2""","=""""","=""0.2942276""","=""""","=""0.0000018""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""3/2""","=""""","=""0.302270""","=""""","=""0.000003""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2D*""","=""3/2""","=""""","=""0.2894701""","=""""","=""0.0000005""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2D*""","=""5/2""","=""""","=""0.3051483""","=""""","=""0.0000005""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2F*""","=""5/2""","=""""","=""0.2928106""","=""""","=""0.0000014""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2F*""","=""7/2""","=""""","=""0.2990676""","=""""","=""0.0000007""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2P*""","=""3/2""","=""""","=""0.300623""","=""""","=""0.000005""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2P*""","=""1/2""","=""""","=""0.30087""","=""""","=""0.00005""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2P*""","=""3/2""","=""""","=""0.32889""","=""""","=""0.00009""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2P*""","=""1/2""","=""""","=""0.34812""","=""""","=""0.00014""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2F*""","=""7/2""","=""""","=""0.3295793""","=""""","=""0.0000014""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2F*""","=""5/2""","=""""","=""0.349973""","=""""","=""0.000004""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2D*""","=""5/2""","=""""","=""0.335016""","=""""","=""0.000004""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2D*""","=""3/2""","=""""","=""0.3551312""","=""""","=""0.0000023""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""7/2""","=""""","=""0.361832""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""5/2""","=""""","=""0.365254""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""3/2""","=""""","=""0.370277""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""1/2""","=""""","=""0.382655""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""2D""","=""5/2""","=""""","=""0.373943""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""2D""","=""3/2""","=""""","=""0.385443""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(1D).6s""","=""2D""","=""5/2""","=""""","=""0.394053""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(1D).6s""","=""2D""","=""3/2""","=""""","=""0.398371""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2P""","=""3/2""","=""""","=""0.395655""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2G""","=""9/2""","=""""","=""0.395928""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2G""","=""7/2""","=""""","=""0.404110""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4S""","=""3/2""","=""""","=""0.396339""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).6p""","=""2*""","=""""","=""""","=""0.396603""","=""""","=""0.000007""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4G""","=""11/2""","=""""","=""0.396960""","=""?""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4G""","=""9/2""","=""""","=""0.403663""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2D""","=""5/2""","=""""","=""0.397055""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2D""","=""3/2""","=""""","=""0.404753""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4P""","=""5/2""","=""""","=""0.397411""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4P""","=""1/2""","=""""","=""0.402979""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4P""","=""3/2""","=""""","=""0.403447""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2F""","=""7/2""","=""""","=""0.397436""","=""?""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2F""","=""5/2""","=""""","=""0.404995""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4D""","=""7/2""","=""""","=""0.397825""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4D""","=""5/2""","=""""","=""0.404317""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4D""","=""3/2""","=""""","=""0.417380""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4F""","=""9/2""","=""""","=""0.398029""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4F""","=""7/2""","=""""","=""0.404687""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4F""","=""5/2""","=""""","=""0.418573""","=""?""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).6p""","=""1*""","=""""","=""""","=""0.402315""","=""""","=""0.000007""","=""L2489"""
"=""4d9.5s.(3D).7s""","=""4D""","=""7/2""","=""""","=""0.411737""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).7s""","=""4D""","=""5/2""","=""""","=""0.414540""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(3D).7s""","=""2D""","=""5/2""","=""""","=""0.419876""","=""""","=""0.000009""","=""L2489"""
"=""4d9.5s.(1D).5d""","=""2D""","=""3/2""","=""""","=""0.428519""","=""""","=""0.000009""","=""L2489"""
