Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Lande,Leading percentages,Reference
"=""3d10.7f""","=""2F*""","=""7/2""","=""""","=""0.27370578""","=""""","=""0.00000005""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.7f""","=""2F*""","=""5/2""","=""""","=""0.27370650""","=""""","=""0.00000006""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.7g""","=""2G""","=""9/2""","=""""","=""0.27372755""","=""""","=""0.00000007""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.7g""","=""2G""","=""7/2""","=""""","=""0.27372755""","=""""","=""0.00000007""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.7h""","=""2H*""","=""9/2,11/2""","=""""","=""0.27373259""","=""""","=""0.00000014""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.8f""","=""2F*""","=""5/2""","=""""","=""0.27608553""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.9d""","=""2D""","=""3/2""","=""""","=""0.2760889""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.9d""","=""2D""","=""5/2""","=""""","=""0.2760912""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.10p""","=""2P*""","=""3/2""","=""""","=""0.27609159""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.10p""","=""2P*""","=""1/2""","=""""","=""0.2761193""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.11p""","=""2P*""","=""3/2""","=""""","=""0.27773743""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.11p""","=""2P*""","=""1/2""","=""""","=""0.2777513""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.10d""","=""2D""","=""3/2""","=""""","=""0.2777401""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.10d""","=""2D""","=""5/2""","=""""","=""0.2777420""","=""""","=""0.0000009""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.12p""","=""2P*""","=""3/2""","=""""","=""0.2789167""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.12p""","=""2P*""","=""1/2""","=""""","=""0.2789245""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
