Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""5d10.9d""","=""2D""","=""3/2""","=""""","=""0.982976""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d10.9d""","=""2D""","=""5/2""","=""""","=""0.984128""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""3""","=""3/2""","=""""","=""0.983723""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""4""","=""5/2""","=""""","=""0.991366""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""5""","=""5/2""","=""""","=""0.991910""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7d?""","=""1""","=""1/2""","=""""","=""0.996828""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""6""","=""5/2""","=""""","=""0.998293""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d10.7g""","=""2G""","=""7/2""","=""""","=""1.004810""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d10.7h""","=""2H*""","=""9/2""","=""""","=""1.005140""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""11""","=""3/2""","=""""","=""1.010543""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""2*""","=""3/2""","=""""","=""1.015031""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""7""","=""5/2""","=""""","=""1.017736""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""7""","=""3/2""","=""""","=""1.018589""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""8""","=""1/2""","=""""","=""1.024050""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""8""","=""3/2""","=""""","=""1.024570""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d10.8h""","=""2H*""","=""9/2""","=""""","=""1.026668""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""12""","=""1/2""","=""""","=""1.027034""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""9""","=""3/2""","=""""","=""1.032027""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""3*""","=""3/2""","=""""","=""1.034908""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""15""","=""1/2""","=""""","=""1.037462""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""9""","=""5/2""","=""""","=""1.039696""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""13""","=""3/2""","=""""","=""1.041384""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""10""","=""3/2""","=""""","=""1.044394""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""5""","=""1/2""","=""""","=""1.045667""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""17""","=""3/2""","=""""","=""1.053500""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""6""","=""3/2""","=""""","=""1.055443""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""16""","=""5/2""","=""""","=""1.061994""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""11""","=""5/2""","=""""","=""1.067866""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""12""","=""5/2""","=""""","=""1.070621""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""7""","=""5/2""","=""""","=""1.073145""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7s""","=""8""","=""3/2""","=""""","=""1.073910""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""4*""","=""1/2""","=""""","=""1.080925""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""10""","=""5/2""","=""""","=""1.085191""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""13""","=""5/2""","=""""","=""1.085284""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""14""","=""3/2""","=""""","=""1.089659""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""15""","=""3/2""","=""""","=""1.091495""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.6d""","=""16""","=""5/2""","=""""","=""1.092999""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""Tl IV (5d10 1S<0>)""","=""Limit""","=""---""","=""""","=""1.097043""","=""""","=""0.000023""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""5*""","=""3/2""","=""""","=""1.103681""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""18""","=""3/2""","=""""","=""1.111019""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""6*""","=""3/2""","=""""","=""1.126642""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""7*""","=""3/2""","=""""","=""1.132865""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""20""","=""5/2""","=""""","=""1.133476""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6s.7p""","=""8*""","=""3/2""","=""""","=""1.146637""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.6p2""","=""21""","=""3/2""","=""""","=""1.165387""","=""""","=""""","=""                                                            ""","=""L3138"""
